,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,salinas,59,RU,1570721912,68,50.72,136.64,40.21,3.6
1,salinas,44,ZA,1570721913,53,-34.42,19.24,68.0,8.99
2,salinas,100,NZ,1570721914,92,-46.19,168.86,42.01,10.0
3,salinas,20,IN,1570721916,88,21.09,72.71,80.6,3.36
4,salinas,100,JP,1570721917,80,43.32,145.57,59.22,11.68
5,salinas,100,RU,1570721919,66,48.46,135.46,48.2,11.18
6,salinas,90,AR,1570721920,91,-54.81,-68.31,32.0,34.45
7,salinas,0,AU,1570721921,94,-35.12,139.28,57.0,4.75
8,salinas,0,GL,1570721923,60,69.22,-51.1,25.21,7.5
9,salinas,40,KY,1570721925,70,19.28,-81.25,89.6,14.99
10,salinas,75,CZ,1570721927,93,50.38,13.17,55.0,6.93
11,salinas,70,ZM,1570721928,22,-15.0,22.67,91.53,8.44
12,salinas,1,US,1570721929,68,43.87,-116.5,33.01,5.82
13,salinas,90,US,1570721931,100,60.79,-161.76,39.2,11.41
14,salinas,100,RU,1570721932,86,46.45,135.83,48.45,3.8
15,salinas,100,MV,1570721933,69,2.67,72.89,83.08,3.39
16,salinas,90,US,1570721934,88,19.71,-155.08,75.2,5.82
17,salinas,46,TZ,1570721936,82,-6.14,36.87,69.75,10.38
18,salinas,20,TO,1570721937,94,-18.65,-173.98,75.2,5.82
19,salinas,90,RU,1570721938,93,59.7,30.79,45.0,4.47
20,salinas,79,PF,1570721939,70,-23.12,-134.97,68.92,10.31
21,salinas,20,CY,1570721941,73,35.04,32.42,77.0,14.99
22,salinas,20,PH,1570721942,88,18.47,120.58,75.2,2.24
23,salinas,5,IN,1570721943,68,11.67,92.75,83.88,3.18
24,salinas,90,CA,1570721945,93,50.1,-91.92,46.4,4.7
25,salinas,100,RU,1570721946,94,63.45,120.31,21.74,6.9
26,salinas,75,CL,1570721947,69,-53.16,-70.91,39.2,31.09
27,salinas,0,SA,1570721949,41,25.02,37.27,87.96,5.97
28,salinas,1,SA,1570721950,51,21.43,39.83,87.33,14.94
29,salinas,33,AR,1570721951,37,-38.31,-60.23,73.71,14.93
30,salinas,15,FR,1570721952,60,43.56,6.97,77.0,4.7
31,salinas,83,RU,1570721953,95,50.68,156.12,41.92,11.63
32,salinas,36,AU,1570721955,89,-23.58,149.07,62.01,11.25
33,salinas,99,NZ,1570721956,85,-42.72,170.96,53.33,16.65
34,salinas,97,RU,1570721957,94,71.97,114.09,11.05,12.91
35,salinas,100,NZ,1570721959,88,-46.28,169.85,45.0,21.99
36,salinas,23,AU,1570721960,67,-33.64,115.35,61.0,9.25
37,salinas,0,PK,1570721961,50,26.0,63.05,88.07,9.78
38,salinas,100,PF,1570721962,81,-16.7,-151.02,75.61,17.19
39,salinas,75,CA,1570721964,65,55.74,-97.86,32.0,3.36
40,salinas,100,IN,1570721965,92,15.34,74.49,71.35,2.52
41,salinas,100,BR,1570721966,73,-20.63,-46.0,73.26,7.74
42,salinas,75,NO,1570721968,93,69.67,29.98,37.4,8.05
43,salinas,5,GL,1570721970,52,60.91,-46.05,41.0,4.7
44,salinas,67,CN,1570721971,90,39.63,118.17,58.78,3.16
45,salinas,90,AU,1570721972,76,-42.88,147.33,48.2,1.12
46,salinas,98,MY,1570721974,97,4.88,101.97,72.75,2.01
47,salinas,75,CA,1570721975,82,62.45,-114.38,33.01,9.17
48,salinas,90,JP,1570721976,93,35.74,139.53,66.0,5.82
49,salinas,99,RU,1570721978,83,73.51,80.55,29.28,24.68
50,salinas,40,GA,1570721979,74,0.39,9.76,84.2,11.41
51,salinas,75,CA,1570721980,100,69.44,-133.03,30.2,3.36
52,salinas,20,BR,1570721981,51,-3.71,-38.6,86.0,21.92
53,salinas,0,PF,1570721983,75,-9.8,-139.03,78.4,12.92
54,salinas,100,AR,1570721984,37,-46.43,-67.52,57.67,18.37
55,salinas,1,US,1570721986,88,20.89,-156.47,77.0,3.36
56,salinas,38,RU,1570721987,75,49.24,135.18,39.96,6.47
57,salinas,100,FO,1570721988,81,62.23,-6.59,46.4,11.41
58,salinas,92,CK,1570721989,73,-21.21,-159.78,69.8,9.17
59,salinas,75,US,1570721992,88,22.08,-159.32,77.0,4.7
60,salinas,0,RU,1570721993,83,68.06,166.44,4.08,2.61
61,salinas,0,AU,1570721995,88,-34.72,135.86,51.87,12.93
62,salinas,36,BR,1570721999,40,-2.92,-39.92,92.84,17.39
63,salinas,100,MV,1570722000,79,-0.6,73.08,81.68,13.8
64,salinas,0,AR,1570722002,27,-29.41,-66.86,81.09,6.74
65,salinas,0,AU,1570722004,11,-25.24,130.99,71.6,5.82
66,salinas,40,US,1570722005,77,45.06,-83.43,60.8,11.41
67,salinas,24,PE,1570722007,54,-11.1,-77.61,67.08,8.01
68,salinas,40,ZA,1570722010,59,-33.02,27.91,62.6,10.29
69,salinas,0,NO,1570722011,70,63.83,10.7,50.0,2.73
70,salinas,90,AU,1570722012,93,-35.36,150.48,53.01,8.64
71,salinas,27,ZA,1570722014,52,-33.93,18.42,68.0,17.22
72,salinas,20,CY,1570722015,73,34.92,32.53,78.8,14.99
73,salinas,1,US,1570722016,62,30.04,-94.42,87.01,10.29
74,salinas,20,CA,1570722017,62,47.66,-52.73,55.0,11.41
75,salinas,90,US,1570722019,58,43.66,-70.25,54.0,10.29
76,salinas,100,RU,1570722021,92,65.53,72.51,47.5,16.77
77,salinas,75,BN,1570722023,88,5.28,115.24,78.8,6.17
78,salinas,35,IN,1570722024,49,22.84,69.73,86.02,7.8
79,salinas,40,IN,1570722025,88,23.08,88.29,78.8,3.41
80,salinas,7,AU,1570722027,51,-33.21,138.6,49.17,9.98
81,salinas,100,PF,1570722028,78,-17.73,-149.15,71.6,4.7
82,salinas,63,MG,1570722031,67,-20.55,46.8,67.15,3.72
83,salinas,20,CA,1570722032,92,50.7,-127.42,30.2,2.24
84,salinas,0,TR,1570722033,18,37.85,40.66,86.0,4.7
85,salinas,69,HN,1570722035,75,16.45,-85.85,84.6,14.01
86,salinas,75,NO,1570722036,80,70.86,29.09,39.2,11.41
87,salinas,98,KI,1570722038,62,3.07,172.79,84.34,9.1
88,salinas,90,AU,1570722039,88,-13.85,136.42,62.6,2.24
89,salinas,20,NO,1570722040,68,78.22,15.63,26.6,18.34
90,salinas,40,MU,1570722042,69,-20.34,57.76,73.99,14.99
91,salinas,24,LS,1570722043,29,-29.29,29.06,56.5,9.91
92,salinas,0,PT,1570722044,49,41.31,-8.72,82.0,10.29
93,salinas,0,RU,1570722046,70,60.35,102.28,20.82,3.43
94,salinas,75,CL,1570722047,50,-45.58,-72.07,53.6,8.05
95,salinas,75,JP,1570722050,93,35.68,139.76,66.0,12.75
96,salinas,100,ZA,1570722052,7,-30.97,22.13,71.82,9.05
97,salinas,75,EC,1570722055,60,-0.74,-90.35,73.4,10.29
98,salinas,100,PG,1570722056,98,-6.29,145.87,59.34,1.84
99,salinas,20,KZ,1570722058,66,43.3,77.24,53.6,2.24
100,salinas,40,TD,1570722059,52,12.48,15.44,91.4,3.36
101,salinas,35,JP,1570722060,91,34.82,133.52,64.99,2.0
102,salinas,40,AR,1570722061,41,-41.13,-71.31,59.0,27.51
103,salinas,1,ET,1570722063,66,10.16,38.15,71.42,1.81
104,salinas,90,AO,1570722065,36,-14.66,17.68,80.02,10.71
105,salinas,75,CA,1570722066,71,45.36,-73.48,60.01,11.41
106,salinas,40,US,1570722068,55,42.65,-73.75,64.0,6.93
107,salinas,39,CF,1570722071,77,7.69,18.62,83.41,1.73
108,salinas,49,NU,1570722073,94,-19.06,-169.92,73.4,6.93
109,salinas,34,ID,1570722074,80,-2.54,115.51,76.68,2.14
110,salinas,90,AU,1570722076,68,-23.13,150.74,71.6,5.82
111,salinas,63,EG,1570722080,12,27.18,31.19,90.64,10.14
112,salinas,100,KE,1570722081,41,-0.46,39.64,90.07,11.98
113,salinas,93,ML,1570722083,25,20.2,1.01,95.85,16.5
114,salinas,1,CA,1570722084,79,55.34,-123.09,23.0,3.36
115,salinas,85,IN,1570722085,71,21.64,69.61,86.27,13.98
116,salinas,0,PT,1570722087,31,41.42,-6.55,73.11,5.38
117,salinas,35,HN,1570722088,70,14.68,-86.92,77.72,2.1
118,salinas,5,US,1570722089,24,37.46,-122.43,63.0,3.36
119,salinas,0,NA,1570722090,9,-24.14,19.11,88.39,11.76
120,salinas,90,AU,1570722092,76,-42.78,147.06,48.2,1.12
121,salinas,20,PT,1570722093,53,38.73,-27.07,75.2,11.95
122,salinas,100,IN,1570722094,89,16.48,81.84,77.45,1.77
123,salinas,98,LY,1570722095,50,30.75,20.22,79.27,9.14
124,salinas,48,CL,1570722097,78,-25.41,-70.49,55.53,6.74
125,salinas,100,NA,1570722098,27,-17.91,19.77,86.0,8.05
126,salinas,0,GL,1570722100,70,72.79,-56.15,30.22,7.37
127,salinas,40,FR,1570722101,60,45.6,-0.6,70.0,14.99
128,salinas,40,MU,1570722102,69,-20.41,57.7,73.99,14.99
129,salinas,90,FR,1570722103,82,47.55,-2.56,64.4,10.29
130,salinas,35,TL,1570722106,34,-8.93,125.41,64.96,4.97
131,salinas,0,RU,1570722107,71,69.38,178.42,22.12,8.49
132,salinas,20,BB,1570722108,62,13.22,-59.52,87.8,12.75
133,salinas,3,NO,1570722110,70,63.73,8.83,50.0,5.82
134,salinas,0,CN,1570722111,20,42.84,93.51,62.06,10.69
135,salinas,0,GF,1570722114,73,5.38,-52.96,82.04,18.18
136,salinas,40,CA,1570722115,81,49.72,-86.95,53.6,8.05
137,salinas,54,CO,1570722116,69,6.3,-70.2,85.17,1.59
138,salinas,10,GL,1570722118,83,65.61,-37.64,32.79,3.46
139,salinas,45,ID,1570722119,94,-0.69,100.95,70.93,1.68
140,salinas,0,RU,1570722121,76,64.42,-173.23,26.2,3.34
141,salinas,1,US,1570722122,25,40.8,-124.16,57.0,9.17
142,salinas,95,MD,1570722124,63,48.03,28.7,60.01,5.15
143,salinas,44,PG,1570722125,94,-4.22,142.82,73.65,2.18
144,salinas,47,AR,1570722126,39,-35.66,-63.75,84.51,14.09
145,salinas,44,ZA,1570722128,70,-33.59,26.89,63.0,5.99
146,salinas,86,CN,1570722130,70,35.25,115.45,62.49,4.69
147,salinas,14,SL,1570722131,66,7.53,-12.5,84.96,12.1
148,salinas,0,IN,1570722135,51,28.58,77.04,88.0,4.7
149,salinas,20,ET,1570722137,55,8.96,38.73,66.2,12.75
150,salinas,1,US,1570722138,73,37.84,-85.95,73.99,8.05
151,salinas,60,CD,1570722140,40,-10.7,22.23,85.5,9.61
152,salinas,90,CL,1570722143,93,-41.87,-73.83,51.8,16.11
153,salinas,99,GL,1570722145,70,77.48,-69.36,23.29,11.63
154,salinas,0,AU,1570722146,18,-23.7,133.88,59.0,1.12
155,salinas,75,AU,1570722148,87,-28.95,153.24,57.2,3.87
156,salinas,75,AU,1570722149,93,-32.72,152.14,57.0,5.82
157,salinas,75,CL,1570722150,87,-39.81,-73.25,55.4,3.36
158,salinas,0,RU,1570722152,51,49.99,88.66,36.91,3.31
159,salinas,40,CA,1570722154,76,68.22,-135.01,32.0,4.7
160,salinas,82,PG,1570722155,72,-2.67,141.3,83.39,6.16
161,salinas,75,BR,1570722156,94,-22.97,-42.02,71.6,4.7
162,salinas,40,GY,1570722159,66,6.8,-58.16,89.6,9.17
163,salinas,75,JP,1570722160,78,33.93,134.5,71.6,8.05
164,salinas,90,CA,1570722162,93,66.15,-65.72,37.4,4.7
165,salinas,40,RU,1570722163,93,43.85,131.86,55.4,7.76
166,salinas,100,BR,1570722164,84,-20.92,-46.99,68.54,10.39
167,salinas,20,PT,1570722167,64,38.52,-28.7,71.6,11.41
168,salinas,64,ID,1570722168,96,-0.92,100.36,67.71,1.46
169,salinas,2,IN,1570722169,42,25.55,79.82,83.21,2.63
170,salinas,75,MZ,1570722171,77,-25.97,32.57,66.2,21.92
171,salinas,90,US,1570722172,100,39.95,-94.76,64.4,11.41
172,salinas,14,ZA,1570722173,48,-34.53,20.04,68.0,14.99
173,salinas,99,RU,1570722175,70,67.47,78.7,35.8,25.39
174,salinas,40,BZ,1570722176,79,16.17,-88.94,84.2,4.7
175,salinas,0,CN,1570722177,78,22.58,113.87,84.0,8.95
176,salinas,75,IE,1570722179,82,52.84,-8.98,59.0,23.04
177,salinas,90,CL,1570722180,93,-42.48,-73.76,51.8,16.11
178,salinas,96,CV,1570722181,82,14.9,-24.5,78.58,11.5
179,salinas,22,NG,1570722183,49,10.31,9.75,86.76,8.05
180,salinas,75,NO,1570722184,71,62.58,6.12,52.0,5.82
181,salinas,98,NG,1570722185,79,9.67,8.4,77.74,1.23
182,salinas,100,RU,1570722187,80,67.65,134.64,7.88,2.93
183,salinas,86,ID,1570722189,86,-1.6,103.62,75.76,2.8
184,salinas,40,MX,1570722190,89,21.23,-86.73,84.2,4.7
185,salinas,90,AU,1570722191,100,-33.86,121.89,55.4,6.93
186,salinas,99,RU,1570722193,96,50.1,139.13,46.44,6.52
187,salinas,75,NO,1570722194,86,71.03,27.85,39.2,6.93
188,salinas,20,VN,1570722195,79,12.24,109.19,84.2,5.82
189,salinas,100,ID,1570722196,97,-3.36,135.5,71.83,1.68
190,salinas,83,IN,1570722198,79,8.08,77.57,82.49,8.85
191,salinas,40,BS,1570722199,74,24.73,-77.79,84.2,9.17
192,salinas,5,MX,1570722200,72,23.99,-104.67,70.0,0.77
193,salinas,100,UG,1570722201,86,2.77,32.3,72.93,2.69
194,salinas,94,ID,1570722203,98,-0.86,131.25,72.66,1.48
195,salinas,20,US,1570722204,55,39.62,-77.74,64.99,6.93
196,salinas,90,EC,1570722205,100,0.12,-76.97,73.4,4.7
197,salinas,90,CL,1570722207,59,-51.55,-72.35,37.4,20.8
198,salinas,8,AU,1570722208,87,-31.65,116.67,59.0,5.82
199,salinas,90,US,1570722210,100,64.84,-147.72,36.0,2.02
200,salinas,93,RU,1570722211,81,69.7,170.27,22.14,14.31
201,salinas,100,IT,1570722213,68,45.54,10.22,66.2,4.7
202,salinas,1,CA,1570722214,76,45.62,-61.36,57.99,8.05
203,salinas,100,AU,1570722215,100,-37.83,140.78,41.0,3.22
204,salinas,90,US,1570722216,85,44.67,-103.85,23.0,18.34
205,salinas,69,UY,1570722218,67,-33.69,-53.46,74.23,6.19
206,salinas,1,CM,1570722219,58,4.42,9.93,87.87,5.65
207,salinas,59,YE,1570722220,32,14.4,46.47,82.44,9.13
208,salinas,0,ZA,1570722221,10,-27.7,23.05,80.01,14.62
209,salinas,79,BF,1570722223,37,13.21,-2.36,94.48,4.27
210,salinas,75,BR,1570722224,37,-16.02,-48.01,86.0,12.75
211,salinas,0,SO,1570722225,84,7.98,49.82,80.98,9.06
212,salinas,20,PG,1570722226,75,-2.02,147.27,82.71,5.52
213,salinas,20,CH,1570722228,58,46.59,7.64,62.6,8.05
214,salinas,75,AU,1570722229,93,-32.59,151.78,57.0,5.82
215,salinas,100,ID,1570722230,98,1.74,98.78,72.41,0.73
216,salinas,71,BR,1570722232,57,-0.13,-67.09,87.03,3.06
217,salinas,90,CL,1570722233,82,-29.95,-71.34,55.4,10.29
218,salinas,65,AU,1570722234,77,-32.49,137.76,59.0,10.29
219,salinas,75,RU,1570722235,87,47.32,142.8,57.2,11.18
220,salinas,33,UA,1570722237,74,51.62,24.92,53.31,9.67
221,salinas,73,PH,1570722238,73,11.72,122.09,81.61,7.99
222,salinas,75,MG,1570722239,69,-19.84,46.86,64.06,7.13
223,salinas,77,CN,1570722240,75,31.87,121.18,75.99,6.01
224,salinas,75,BR,1570722241,88,-22.91,-43.21,77.0,5.82
225,salinas,20,GR,1570722243,73,39.45,22.34,73.4,2.73
226,salinas,87,NA,1570722244,35,-26.65,15.16,73.4,16.11
227,salinas,1,US,1570722245,57,43.97,-111.68,23.0,5.82
228,salinas,0,PY,1570722246,30,-24.08,-55.5,92.55,7.06
229,salinas,90,CA,1570722249,93,63.75,-68.52,35.6,5.82
230,salinas,90,US,1570722251,100,42.79,-96.17,57.2,9.17
231,salinas,100,TZ,1570722253,31,-3.17,33.8,85.08,12.24
232,salinas,100,LK,1570722254,78,7.42,81.82,83.19,20.24
233,salinas,0,GL,1570722255,71,60.14,-45.24,39.16,9.27
234,salinas,98,RU,1570722257,97,65.95,111.51,6.73,12.34
235,salinas,90,AU,1570722258,73,-23.53,148.16,69.8,9.17
236,salinas,100,PH,1570722259,72,11.14,123.72,83.32,7.49
237,salinas,0,CA,1570722260,51,50.23,-63.6,59.0,5.82
238,salinas,100,RU,1570722262,95,69.3,139.9,9.73,0.7
239,salinas,0,KZ,1570722264,51,48.59,57.19,45.61,8.77
240,salinas,0,BR,1570722266,55,-16.19,-55.97,86.0,6.93
241,salinas,17,ZA,1570722267,60,-34.0,24.73,60.82,16.57
242,salinas,0,NC,1570722268,82,-22.28,166.46,73.0,2.24
243,salinas,100,NZ,1570722269,95,-39.94,176.59,52.0,7.14
244,salinas,0,NA,1570722270,87,-22.12,14.28,63.0,5.99
245,salinas,75,NO,1570722272,86,70.98,25.97,39.2,3.36
246,salinas,20,CA,1570722273,86,55.1,-105.3,28.4,3.36
247,salinas,0,US,1570722274,79,37.17,-99.65,42.01,31.0
248,salinas,1,US,1570722278,25,40.6,-124.16,57.0,9.17
249,salinas,100,LT,1570722279,91,54.41,23.23,49.15,11.92
250,salinas,40,DO,1570722281,66,18.48,-69.94,88.0,5.82
251,salinas,95,RO,1570722282,54,45.1,24.1,62.92,3.54
252,salinas,4,IN,1570722283,66,26.42,82.54,77.85,3.97
253,salinas,75,FR,1570722284,63,45.65,0.15,69.01,8.05
254,salinas,100,AR,1570722286,50,-43.3,-65.11,60.21,16.94
255,salinas,66,RU,1570722287,76,68.75,161.3,12.54,5.97
256,salinas,100,RU,1570722289,86,62.65,135.58,25.05,5.14
257,salinas,0,BR,1570722291,86,-30.17,-50.22,67.73,9.65
258,salinas,75,CA,1570722292,70,65.28,-126.83,32.0,5.82
259,salinas,75,MZ,1570722293,88,-23.86,35.35,73.4,4.7
260,salinas,5,CA,1570722294,100,48.94,-125.55,33.8,2.24
261,salinas,0,RU,1570722296,83,66.77,123.37,18.3,18.57
262,salinas,40,BR,1570722297,54,-20.25,-43.81,82.0,13.87
263,salinas,0,QA,1570722298,56,25.29,51.53,95.0,4.7
264,salinas,100,JP,1570722300,75,45.41,141.67,63.73,24.02
265,salinas,20,VN,1570722301,100,10.21,106.33,77.0,2.72
266,salinas,100,RU,1570722302,65,56.47,73.61,51.73,14.37
267,salinas,40,IT,1570722303,83,38.07,13.27,75.0,12.75
268,salinas,20,US,1570722305,52,39.31,-74.98,68.0,13.87
269,salinas,97,RU,1570722306,96,62.72,129.66,17.42,6.18
270,salinas,20,CZ,1570722307,87,49.95,14.03,55.4,13.87
271,salinas,40,US,1570722309,62,25.91,-97.49,89.6,14.99
272,salinas,90,BR,1570722311,74,-21.64,-41.05,80.6,18.24
273,salinas,99,CN,1570722312,67,35.6,103.21,44.2,2.94
274,salinas,40,AR,1570722313,38,-45.87,-67.48,60.8,18.34
275,salinas,0,SO,1570722315,70,5.35,48.53,81.84,11.07
276,salinas,20,KZ,1570722316,66,43.36,76.86,53.6,2.24
277,salinas,40,US,1570722318,78,43.52,-114.32,17.6,5.82
278,salinas,0,PG,1570722320,71,-2.57,150.8,83.75,6.11
279,salinas,0,CN,1570722321,34,40.81,111.65,48.2,6.71
280,salinas,34,BR,1570722322,80,-9.01,-35.22,77.67,16.0
281,salinas,1,CN,1570722323,30,42.27,118.96,42.57,6.12
282,salinas,75,NG,1570722325,79,5.43,7.07,84.2,4.7
283,salinas,45,ID,1570722326,79,-2.88,108.27,80.94,11.48
284,salinas,26,AR,1570722327,28,-38.55,-58.74,79.0,15.01
285,salinas,75,MX,1570722328,78,15.74,-96.47,86.0,5.1
286,salinas,0,RU,1570722330,66,50.59,107.6,20.41,1.9
287,salinas,100,NZ,1570722331,93,-45.41,167.72,42.04,12.04
288,salinas,100,RU,1570722332,78,66.69,34.34,38.98,16.59
289,salinas,100,RU,1570722334,72,66.08,76.63,38.84,23.55
290,salinas,0,IR,1570722335,20,32.86,59.22,68.0,13.87
